what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1451579551151
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451579552306
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451579553538
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451579553944
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451579563199
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1451579563964
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451579564822
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451579571446
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451579571914
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451579572912
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1451579573224
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451579574753
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451579613467
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451579616540
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451579619239
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1451579619239
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451579627070
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451579635572
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1451579635619
jar,m2e.packaging,org.eclipse.m2e.core,1.0.200,"jar",1451579635759
clean:default-clean:clean,m2e.plugins,org.eclipse.m2e.core,1.0.200,"org.apache.maven.plugins:maven-clean-plugin:2.4.1",1451579635759
resources:default-resources:process-resources,m2e.plugins,org.eclipse.m2e.core,1.0.200,"org.apache.maven.plugins:maven-resources-plugin:2.4.3",1451579635759
compile:default-compile:compile,m2e.plugins,org.eclipse.m2e.core,1.0.200,"org.apache.maven.plugins:maven-compiler-plugin:2.3.2",1451579635759
testResources:default-testResources:process-test-resources,m2e.plugins,org.eclipse.m2e.core,1.0.200,"org.apache.maven.plugins:maven-resources-plugin:2.4.3",1451579635759
testCompile:default-testCompile:test-compile,m2e.plugins,org.eclipse.m2e.core,1.0.200,"org.apache.maven.plugins:maven-compiler-plugin:2.3.2",1451579635759
test:default-test:test,m2e.plugins,org.eclipse.m2e.core,1.0.200,"org.apache.maven.plugins:maven-surefire-plugin:2.7.1",1451579635759
