what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464107088474
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1464107091157
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1464107091298
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464107095841
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464107137411
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464107137925
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464107156507
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464107158772
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464107385941
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1464107391990
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1464107436052
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.backwardHistory",1464107452895
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1464107471460
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1464107484928
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.backwardHistory",1464107484949
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464107486239
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464107487255
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464107487610
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464107519150
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.backwardHistory",1464107522537
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464107563558
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464107566889
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1464107573870
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1464107573960
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1464107578647
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1464107584395
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.backwardHistory",1464107584428
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.backwardHistory",1464107589428
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464107590318
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464107595060
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.backwardHistory",1464107619573
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464107620109
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464107629769
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464107630768
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1464107630803
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1464107631063
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464107634419
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464107643066
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464107643147
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464107646726
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464107655828
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1464107667359
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1464107669396
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464107670105
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464107670646
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464107671913
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464107683382
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.BreakpointView",1464107684589
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464107688844
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464107691028
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1464107699996
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464107700277
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464107704180
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464107733598
activated,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1464107735201
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464107735368
executed,command,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.openSearchDialog",1464107735388
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464107735712
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464107736271
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1464107745787
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464107747740
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464107747859
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1464107748072
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1464107748161
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1464107754889
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464107755830
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464107757228
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464107757243
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464107759083
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1464107761222
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1464107762468
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1464107779260
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1464107782627
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1464107786596
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1464107850608
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1464107889012
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1464107891555
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1464107904678
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.backwardHistory",1464107949640
