what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1464268867239
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1464268867239
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1464268867239
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1464268867254
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1464268867254
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1464268867254
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1464268867254
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1464268867254
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1464268867270
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1464268867270
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1464268867270
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1464268867270
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1464268867270
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1464268867270
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1464268867270
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1464268867270
started,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1464268867270
os,sysinfo,,,"win32",1464268867286
arch,sysinfo,,,"x86_64",1464268867286
ws,sysinfo,,,"win32",1464268867286
locale,sysinfo,,,"zh_CN",1464268867286
processors,sysinfo,,,"4",1464268867286
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1464268867286
java.runtime.version,sysinfo,,,"1.8.0_05-b13",1464268867286
java.specification.name,sysinfo,,,"Java Platform API Specification",1464268867286
java.specification.vendor,sysinfo,,,"Oracle Corporation",1464268867286
java.specification.version,sysinfo,,,"1.8",1464268867286
java.vendor,sysinfo,,,"Oracle Corporation",1464268867286
java.version,sysinfo,,,"1.8.0_05",1464268867286
java.vm.info,sysinfo,,,"mixed mode",1464268867286
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1464268867286
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1464268867286
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1464268867286
java.vm.specification.version,sysinfo,,,"1.8",1464268867286
java.vm.vendor,sysinfo,,,"Oracle Corporation",1464268867286
java.vm.version,sysinfo,,,"25.5-b02",1464268867286
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1464268867301
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1464268867535
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1464268869784
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464268872014
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464268874339
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464269215302
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464269217220
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464269217829
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464269218905
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464269223073
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464269223556
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464269286556
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464269287134
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464269287446
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464269289567
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464269291080
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464269291962
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464269297531
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464269298171
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464273686008
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464273686390
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464273687932
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1464273690373
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1464273690379
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.closeAll",1464273690462
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464273696897
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464273697990
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464273699319
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464273704750
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464273706185
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464273786992
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464273793210
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464273793718
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1464273798766
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1464273798853
opened,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1464273800203
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1464273800409
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1464273802978
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1464273805724
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464273807230
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464273807239
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1464273810362
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464273810545
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464273811785
started,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1464273812332
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464273815663
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464273827409
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464273830477
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464273832271
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464273832770
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464274079202
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1464274080996
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1464274089390
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1464274089421
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1464274092933
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Terminate",1464274104082
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1464274105190
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464274106953
